objects_actual,fifo_miss_ratio,lru_miss_ratio,sieve_miss_ratio,sieve_vs_fifo_percent,sieve_vs_lru_percent
4228,0.357,0.3242,0.2834,20.61624649859944,12.584824182603333
4233,0.357,0.3242,0.2832,20.67226890756302,12.64651449722393
4236,0.3564,0.3239,0.2829,20.622895622895626,12.658227848101275
4247,0.3573,0.3245,0.2834,20.682899524209354,12.665639445300469
4257,0.3556,0.3232,0.2823,20.613048368953887,12.654702970297027
4271,0.3558,0.3231,0.2819,20.770095559302984,12.751470133085737
4291,0.3566,0.3241,0.283,20.639371845204714,12.681271212588715
4838,0.6198,0.5892,0.5145,16.989351403678615,12.678207739307535
4840,0.6216,0.5911,0.5164,16.924066924066935,12.63745559127051
4842,0.622,0.5914,0.5166,16.945337620578783,12.647954007439989
4843,0.6223,0.5919,0.517,16.92109914832074,12.654164554823444
4846,0.6214,0.5908,0.5167,16.849050531058886,12.542315504400802
4847,0.6226,0.592,0.5168,16.993254095727593,12.702702702702693
4852,0.6204,0.5898,0.5161,16.811734364925847,12.495761275008475
4854,0.6228,0.5921,0.5163,17.100192678227366,12.801891572369527
4856,0.6236,0.593,0.5178,16.96600384862091,12.681281618887006
4857,0.6209,0.5904,0.5157,16.94314704461265,12.652439024390242
4858,0.622,0.5915,0.5181,16.70418006430868,12.409129332206257
4859,0.6206,0.5901,0.5151,16.999677731227848,12.70971021860701
4866,0.6212,0.5906,0.5158,16.967160334835793,12.665086352861493
4867,0.6212,0.5907,0.5164,16.870573084352866,12.57829693583884
4873,0.6237,0.5933,0.5189,16.80295013628347,12.540030338783081
4876,0.6211,0.5907,0.5161,16.905490259217515,12.629084137464025
4985,0.7555,0.7343,0.6632,12.217074784910647,9.682690998229598
4986,0.756,0.7351,0.6643,12.12962962962963,9.631342674466056
4987,0.7553,0.7341,0.6623,12.312988216602673,9.780683830540795
4990,0.7551,0.7339,0.663,12.197059992054026,9.660716718899028
4991,0.7542,0.7331,0.6625,12.158578626359057,9.630336925385349
4992,0.7552,0.7341,0.6632,12.182203389830505,9.658084729600867
4993,0.7551,0.7339,0.6629,12.210303271089915,9.674342553481393
4994,0.7546,0.7333,0.662,12.271402067320436,9.723169234965216
